user,interest,service,rating,frequency
User1,Health,Health Camp,4,4
User2,Sports,Travel Fair,5,7
User5,Travel,Sports Event,5,3
User1,Travel,Tech Workshop,1,4
User5,Health,Travel Fair,2,4
User4,Health,Sports Event,4,1
User5,Health,Sports Event,5,2
User3,Sports,Tech Workshop,2,2
User3,Technology,Travel Fair,2,7
User5,Health,Sports Event,5,3
User3,Health,Sports Event,4,8
User4,Education,Sports Event,1,7
User2,Sports,Tech Workshop,4,6
User3,Health,Travel Fair,3,6
User3,Education,Travel Fair,2,7
User5,Travel,Travel Fair,5,8
User4,Health,Travel Fair,3,6
User2,Health,Health Camp,4,8
User5,Education,Health Camp,4,3
User5,Sports,Travel Fair,4,1
User4,Health,Tech Workshop,2,8
User2,Travel,Health Camp,5,6
User4,Health,Sports Event,4,9
User2,Travel,Health Camp,1,9
User4,Technology,Sports Event,2,8
User5,Technology,Travel Fair,5,9
User5,Travel,Health Camp,1,9
User1,Sports,Tech Workshop,3,7
User3,Health,Health Camp,4,6
User4,Health,Health Camp,5,1
User2,Health,Travel Fair,5,1
User5,Sports,Travel Fair,2,7
User4,Technology,Sports Event,4,1
User1,Education,Health Camp,2,5
User5,Sports,Sports Event,4,1
User2,Travel,Travel Fair,5,3
User4,Health,Health Camp,4,6
User5,Sports,Health Camp,3,8
User4,Sports,Sports Event,4,2
User4,Travel,Tech Workshop,2,3
User2,Technology,Sports Event,3,9
User3,Education,Travel Fair,4,6
User5,Travel,Travel Fair,4,3
User2,Education,Travel Fair,5,2
User4,Technology,Travel Fair,2,9
User2,Sports,Travel Fair,3,9
User3,Education,Tech Workshop,5,6
User5,Health,Health Camp,2,8
User3,Health,Sports Event,4,1
User1,Travel,Sports Event,5,1
User5,Technology,Travel Fair,5,8
User3,Travel,Sports Event,1,4
User4,Travel,Travel Fair,1,1
User5,Travel,Tech Workshop,3,9
User5,Health,Tech Workshop,1,5
User2,Health,Health Camp,3,7
User4,Travel,Tech Workshop,5,4
User1,Health,Tech Workshop,2,3
User3,Technology,Health Camp,3,6
User2,Travel,Sports Event,3,5
User3,Health,Travel Fair,4,5
User1,Education,Travel Fair,1,6
User1,Travel,Sports Event,1,4
User5,Travel,Health Camp,4,5
User1,Technology,Sports Event,3,7
User3,Sports,Tech Workshop,1,2
User4,Sports,Health Camp,5,6
User4,Technology,Health Camp,4,4
User5,Technology,Health Camp,4,3
User3,Technology,Travel Fair,2,2
User3,Sports,Sports Event,3,3
User1,Technology,Health Camp,2,7
User3,Health,Health Camp,3,3
User2,Travel,Health Camp,1,5
User1,Travel,Sports Event,3,3
User2,Education,Travel Fair,4,5
User5,Education,Tech Workshop,5,7
User4,Travel,Travel Fair,2,8
User5,Health,Health Camp,3,1
User4,Sports,Travel Fair,2,7
User5,Sports,Travel Fair,1,2
User3,Health,Tech Workshop,3,6
User2,Sports,Sports Event,3,4
User4,Technology,Sports Event,3,1
User1,Travel,Travel Fair,3,2
User2,Travel,Travel Fair,3,5
User1,Health,Sports Event,4,7
User2,Sports,Sports Event,5,8
User2,Education,Tech Workshop,4,1
User5,Education,Health Camp,1,1
User4,Sports,Travel Fair,1,1
User4,Education,Sports Event,2,1
User2,Health,Travel Fair,5,6
User3,Health,Travel Fair,4,7
User3,Sports,Sports Event,3,2
User1,Education,Tech Workshop,4,5
User1,Health,Travel Fair,2,9
User5,Health,Tech Workshop,5,2
User2,Technology,Sports Event,5,7
User1,Technology,Health Camp,2,7
User1,Health,Health Camp,4,5
User2,Sports,Travel Fair,4,2
User5,Travel,Sports Event,2,7
User1,Travel,Tech Workshop,3,8
User5,Health,Travel Fair,5,8
User4,Health,Sports Event,1,4
User5,Health,Sports Event,3,5
User3,Sports,Tech Workshop,5,3
User3,Technology,Travel Fair,5,8
User5,Health,Sports Event,3,8
User3,Health,Sports Event,5,4
User4,Education,Sports Event,1,9
User2,Sports,Tech Workshop,1,8
User3,Health,Travel Fair,5,9
User3,Education,Travel Fair,5,3
User5,Travel,Travel Fair,3,8
User4,Health,Travel Fair,5,7
User2,Health,Health Camp,4,5
User5,Education,Health Camp,5,7
User5,Sports,Travel Fair,1,5
User4,Health,Tech Workshop,4,7
User2,Travel,Health Camp,3,9
User4,Health,Sports Event,2,2
User2,Travel,Health Camp,5,9
User4,Technology,Sports Event,1,4
User5,Technology,Travel Fair,3,5
User5,Travel,Health Camp,3,6
User1,Sports,Tech Workshop,1,3
User3,Health,Health Camp,1,2
User4,Health,Health Camp,3,4
SyntheticUser1,Sustainability,AI Bootcamp,2,8
SyntheticUser1,AI,Eco Fair,1,2
SyntheticUser1,Innovation,Digital Expo,5,1
SyntheticUser2,Innovation,Eco Fair,5,5
SyntheticUser3,Sustainability,Eco Fair,5,6
SyntheticUser3,AI,Green Market,3,9
SyntheticUser3,Environment,AI Bootcamp,1,8
SyntheticUser4,Sustainability,Green Market,5,6
SyntheticUser4,Sustainability,Eco Fair,4,5
SyntheticUser5,Sustainability,Digital Expo,2,1
SyntheticUser6,AI,AI Bootcamp,2,4
SyntheticUser7,Sustainability,AI Bootcamp,2,5
SyntheticUser8,AI,AI Bootcamp,2,7
SyntheticUser8,Environment,Digital Expo,3,5
SyntheticUser8,Innovation,Eco Fair,3,9
SyntheticUser9,Sustainability,AI Bootcamp,4,3
SyntheticUser9,Sustainability,Green Market,5,7
SyntheticUser10,Sustainability,Eco Fair,5,6
SyntheticUser10,Innovation,Digital Expo,3,2
SyntheticUser11,AI,AI Bootcamp,5,7
SyntheticUser11,AI,Green Market,1,1
SyntheticUser12,Innovation,AI Bootcamp,1,9
SyntheticUser12,Environment,Eco Fair,2,5
SyntheticUser12,AI,Digital Expo,1,7
SyntheticUser13,Sustainability,Digital Expo,4,6
SyntheticUser13,Environment,Eco Fair,1,3
SyntheticUser13,Environment,AI Bootcamp,4,4
SyntheticUser14,Sustainability,Eco Fair,4,9
SyntheticUser14,Environment,AI Bootcamp,3,1
SyntheticUser14,Innovation,Green Market,5,9
SyntheticUser15,Environment,Digital Expo,3,1
SyntheticUser15,Innovation,Eco Fair,4,3
SyntheticUser15,Innovation,AI Bootcamp,3,8
