garbage,sewage,complaints,population,risk_level,hospital_access,vaccination_rate
91,72,59,8018,low,0,0.6204468190817917
72,55,6,7057,low,0,0.659016458270795
5,91,45,8043,low,0,0.2848899228945653
10,42,0,8874,low,1,0.43955186511064237
81,25,98,2502,low,1,0.38701254662352924
90,81,69,9598,low,0,0.864735859626671
35,67,96,6806,low,1,0.13423689712757592
25,43,15,5354,low,0,0.38678059987989777
52,60,23,1722,low,0,0.9198552108312775
24,73,76,4331,low,1,0.8216231712273105
85,94,75,4116,low,0,0.0026178414600600552
4,66,68,1330,low,0,0.5431274582670605
3,1,30,3212,low,0,0.06659036986661215
20,69,29,6614,low,1,0.6762969579632628
76,25,17,6913,low,0,0.5203287954695991
88,71,43,6913,low,0,0.4644681846130432
13,0,96,1329,low,1,0.9722349140763026
99,2,55,7742,low,1,0.679680674786099
15,50,96,9125,low,0,0.8167245453579007
15,14,38,6703,low,0,0.2501584570380163
28,37,62,7644,low,1,0.7952826316267457
91,82,95,8420,low,0,0.9790663624334562
87,46,16,9411,low,1,0.9817306011767346
18,77,70,3593,low,0,0.7872641435106222
85,29,75,9437,low,0,0.3172154946919251
73,4,34,4349,low,0,0.47239406957567864
45,82,43,6247,low,1,0.016415264010910202
90,30,67,6356,low,0,0.46678088727599565
32,87,47,5898,low,0,0.8025233153264933
98,74,85,6239,low,1,0.5793978234230417
62,56,63,2734,low,0,0.8977005594109124
27,90,61,3196,low,1,0.5641130544848364
92,78,12,2906,low,0,0.8656927974412334
48,85,55,5227,low,0,0.8469198799412321
56,23,50,4849,low,1,0.18289064718574743
83,72,15,7849,low,0,0.7180752876578197
74,45,6,3322,low,0,0.6986046141746273
56,17,44,9378,low,0,0.2413454736434858
99,9,6,8254,low,0,0.35646121067099035
87,72,14,9401,low,0,0.4239561676036301
42,30,39,2563,low,1,0.23605008885794743
22,27,82,9217,low,1,0.27786422601436944
36,54,54,1321,low,0,0.6703554711799192
5,13,76,6698,low,0,0.3078026469987042
64,57,94,6604,low,0,0.9506700187179314
5,88,79,7742,low,0,0.04527172173552563
87,23,56,6674,low,1,0.3078688404403055
78,63,91,1910,low,1,0.493705244630805
87,26,67,8701,low,0,0.27997435882828603
98,90,7,7945,low,1,0.6593610617739292
64,38,63,3400,low,0,0.5652228504586267
45,78,40,3343,low,0,0.5499046313511023
10,0,78,6193,low,0,0.06429395548470829
11,49,92,4536,low,1,0.32976806465393793
35,61,37,1976,low,1,0.31115402441292184
32,55,89,1107,low,1,0.050321454785901
40,12,91,7229,low,0,0.6182013199815083
57,8,98,7877,low,0,0.3921443170039056
30,0,15,3107,low,1,0.7892816790824909
54,69,78,1559,low,1,0.24566961065526327
30,46,27,4439,low,0,0.17055212974595102
69,90,8,4928,low,0,0.6409943164074107
14,35,34,2760,low,0,0.11191126415746677
91,31,96,4275,low,0,0.008480071874944262
14,80,64,5295,low,0,0.47359734624473726
87,59,79,2811,low,0,0.766193985737335
97,64,91,5615,low,1,0.01598428918574779
37,25,37,3582,low,0,0.2350022875295602
93,76,10,7445,low,0,0.7488881641492997
41,58,66,4837,low,0,0.93030693708819
64,40,6,9651,low,0,0.3903518693580903
0,56,48,3552,low,0,0.3712896435370877
19,48,25,7096,low,1,0.6115882710574171
67,68,70,2556,low,0,0.40989738715798296
21,5,94,4955,low,0,0.6372285860321162
81,64,19,1404,low,1,0.8886753692893993
0,24,50,2620,low,1,0.08483069406030908
29,0,80,3952,low,1,0.0014128394083714468
68,59,39,1565,low,0,0.10760811861331565
74,28,96,5799,low,1,0.32913264572666723
94,72,99,9776,low,0,0.24751719055736332
79,59,78,8614,low,0,0.06870238753178792
23,16,54,1537,low,1,0.5011057915076708
65,59,28,2415,low,0,0.6488747731800836
42,67,9,8013,low,1,0.399994855057333
27,79,43,3770,low,1,0.5758222632252701
46,64,6,8187,low,0,0.8228691837479689
41,87,25,3180,low,0,0.35794644638184003
93,87,78,2960,low,0,0.49570195157461194
31,16,65,4270,low,0,0.09052549732639448
0,91,91,1582,low,1,0.08652362133152713
80,93,42,8979,low,1,0.48789966876682744
70,26,70,4060,low,1,0.997960399841958
33,30,67,7213,low,1,0.1362750630644406
72,45,4,3377,low,1,0.45062949941511654
99,98,28,2239,low,0,0.8228654006752226
8,84,36,6055,low,1,0.4699137280942641
5,88,6,6772,low,0,0.21892798699005855
15,53,53,5349,low,1,0.22959387146454324
82,29,98,6156,low,1,0.35430202064990857
80,21,26,6461,low,1,0.6983412831015687
63,42,7,6302,low,1,0.9224314609123624
65,79,92,2629,low,1,0.8025603194678477
73,80,28,5839,low,0,0.13947708703047712
3,25,40,1557,low,0,0.9684877824858498
76,64,10,7998,low,0,0.18334181758645907
47,36,65,5666,low,1,0.4013203893609839
32,65,97,9906,low,0,0.13191977296503743
82,39,79,7446,low,0,0.35705495432497913
9,8,83,3160,low,1,0.5978142208869506
64,76,24,6740,low,0,0.6336500737662654
41,74,29,5457,low,0,0.7417680256722613
68,41,55,9609,low,0,0.5334240234846023
21,76,51,8642,low,1,0.15178434930635976
63,56,47,9798,low,1,0.314292637584235
55,29,30,5798,low,0,0.6864272276246473
24,18,1,6718,low,1,0.7281988047511877
90,6,77,3068,low,0,0.6211190520985068
59,81,71,6715,low,1,0.2895396364412255
96,86,5,2308,low,1,0.028021965389628867
36,30,73,5861,low,1,0.16390213581890822
30,32,22,3776,low,0,0.027183796535051985
97,77,2,2596,low,0,0.7405821418729294
35,47,45,4898,low,0,0.36936174527104515
78,77,83,6624,low,1,0.7805818379264319
25,52,71,9176,low,0,0.8325717700884665
67,5,92,4862,low,1,0.5160058251702969
75,80,2,8308,low,0,0.9077240775237825
41,22,9,7021,low,0,0.6750838020591452
81,35,64,5135,low,0,0.4119811833659197
3,16,46,8867,low,0,0.7469555054820357
19,67,64,3477,low,0,0.08591615591569934
9,54,71,4093,low,0,0.915269971370753
33,75,82,8207,low,0,0.21507845417105598
47,0,24,7227,low,1,0.5797824091752931
32,20,56,4535,low,0,0.850490848553108
60,20,62,3913,low,1,0.37102873130288283
64,51,91,9836,low,0,0.41855190071336634
79,9,7,9955,low,0,0.3161253183959567
97,52,38,6878,low,1,0.10741667521222298
12,50,22,8663,low,1,0.7233112457030615
41,16,46,9112,low,0,0.5022588012620711
98,73,55,4804,low,0,0.6451458461759526
30,22,6,9093,low,1,0.8187344103579423
72,0,15,6608,low,1,0.0038530972355945714
7,63,83,7395,low,0,0.5448411407726225
49,0,33,7344,low,0,0.2686436532962345
69,66,25,1375,low,1,0.556611030118318
74,88,40,5062,low,0,0.164726027031331
53,32,56,6695,low,1,0.7839992704550195
24,21,86,7998,low,0,0.763191407051956
2,47,16,3366,low,1,0.9779845569294302
85,86,8,9976,low,1,0.901417578737916
21,25,94,1496,low,0,0.9487094777538334
1,98,73,8699,low,0,0.39326941931488824
15,28,76,6688,low,0,0.20708727634175972
47,60,25,5960,low,1,0.5037272598219845
7,56,73,8730,low,1,0.41860740368794414
45,43,62,8235,low,1,0.5214338040167996
18,96,51,1978,low,0,0.5246059948206233
42,54,13,3243,low,0,0.1167650117161112
81,32,27,2286,low,1,0.034192719618092116
73,69,56,5121,low,1,0.06502936901697898
72,88,49,8273,low,0,0.2769542695421727
30,45,13,4535,low,1,0.5506104402328419
60,51,42,9853,low,1,0.7011510508856236
69,87,80,7539,low,1,0.7473402122255506
67,40,67,8069,low,0,0.6660152345834384
18,2,38,1171,low,0,0.7379523206876852
62,33,15,9667,low,0,0.7354323730859278
92,48,53,2049,low,0,0.17855754411196467
29,86,22,1815,low,1,0.8139235944830173
74,12,10,9945,low,1,0.9058851022905544
25,97,67,9653,low,1,0.9058552661618757
41,23,60,8741,low,0,0.31500410388611233
88,59,1,3523,low,0,0.03574032464863175
65,17,4,3639,low,0,0.12403617630538444
40,91,67,5872,low,1,0.10882586304287678
76,71,8,9638,low,1,0.8139498449056961
20,32,67,8229,medium,0,0.20396232446326468
21,89,64,3984,medium,1,0.24386284504851297
58,79,1,1561,medium,0,0.3562730241710278
59,10,92,1740,medium,0,0.2860401552720171
52,32,40,2265,medium,1,0.020766169220099773
45,22,4,6837,medium,0,0.8295213667594674
17,19,7,3036,medium,1,0.8653630374787955
72,56,28,8973,medium,1,0.38409924062216516
1,47,72,3808,medium,0,0.7390679544000166
80,36,48,8635,medium,1,0.07786168034392094
8,13,92,1754,medium,1,0.24677419035686976
48,58,94,8644,medium,1,0.8838545365644047
23,51,27,3419,medium,0,0.9098173115297141
7,58,7,3963,medium,1,0.4718671968206759
88,2,22,7702,medium,1,0.054667423673374405
34,76,71,3911,medium,0,0.14003168610781347
50,56,23,1185,medium,0,0.32103003903211735
17,12,76,8410,medium,0,0.7264837339334794
25,70,89,6526,medium,0,0.09189963909267818
79,82,17,2161,medium,1,0.3020798397528345
0,16,68,5756,medium,0,0.08170095021580404
8,13,92,1754,medium,1,0.4062748580722172
70,73,43,1602,medium,0,0.6770288884207994
72,90,38,6373,medium,1,0.05658182497658404
94,82,62,2609,medium,0,0.45581629786404365
75,22,72,5555,medium,0,0.11913525487789667
70,3,71,5967,medium,0,0.7050971530986105
40,62,99,5694,medium,1,0.4237316312528595
51,16,61,9676,medium,0,0.10249546535863074
20,32,67,8229,medium,0,0.1591125386187079
92,23,6,3274,medium,0,0.06986674519779024
7,58,7,3963,medium,0,0.9679643549217961
66,40,46,6132,medium,0,0.8050837776671057
70,31,88,3428,medium,0,0.6565221036191271
7,43,73,8876,medium,0,0.05393664903745066
43,46,34,4466,medium,0,0.9820531859510282
82,48,95,8475,medium,1,0.4524804954901872
18,81,65,7927,medium,0,0.6832815938927945
64,54,32,5558,medium,1,0.20278587925428393
85,8,60,9744,medium,1,0.6636748964001562
96,48,53,1095,medium,0,0.9803365982567303
45,22,4,6837,medium,0,0.6619632472643874
97,30,99,7553,medium,0,0.6638388565967274
14,35,85,5477,medium,0,0.21343918949813312
77,73,21,5617,medium,1,0.7229422063377393
42,42,47,7862,medium,1,0.00022445819970051684
8,85,34,2786,medium,0,0.011342393876977441
9,97,50,1818,medium,0,0.6590767849248712
67,97,65,9218,medium,1,0.8428099783859202
8,79,10,2977,medium,0,0.23866341417719095
0,16,68,5756,medium,0,0.0015088731486848639
1,24,46,6790,medium,1,0.24096075376015857
43,46,34,4466,medium,1,0.9036318156171628
30,14,68,1815,medium,0,0.2735892845447597
16,99,54,4176,medium,0,0.5648677148067516
70,73,43,1602,medium,0,0.3741425744192971
27,84,67,1990,medium,1,0.3304678867084323
85,36,83,7189,medium,0,0.9658777720312567
67,45,25,3365,medium,0,0.15783833740283582
34,57,60,4017,medium,0,0.5075219641292551
5,2,8,7711,medium,1,0.7904812589930479
69,92,41,6660,medium,0,0.15450599583655056
84,91,76,6775,medium,1,0.5533727109616197
66,75,95,7680,medium,0,0.272374228345434
73,67,79,3416,medium,0,0.8173533066470274
94,82,62,2609,medium,1,0.32775183383615547
87,99,49,2137,medium,1,0.6218678845277009
26,74,93,1318,medium,0,0.26623410800634273
19,95,25,8044,medium,1,0.9390841673236301
55,70,2,8910,medium,1,0.42687010959657057
31,72,37,4879,medium,0,0.6669334957171428
58,58,74,5970,medium,1,0.0607828489879918
61,72,15,6067,medium,1,0.47197152484020666
72,52,51,2164,medium,1,0.8454965979722108
18,9,15,4631,medium,1,0.7607145135359634
19,9,81,5759,medium,0,0.9176538673880672
33,96,59,3196,medium,0,0.8891157221273346
96,69,22,5431,medium,1,0.704134734572974
74,71,96,2914,medium,1,0.9998751627853417
18,9,15,4631,medium,1,0.009242826324391107
29,84,34,6062,medium,1,0.9326962022425687
82,31,29,7341,medium,0,0.06396949993999212
23,35,5,2245,medium,0,0.6297165564048497
81,18,7,5889,medium,0,0.4825109124151423
76,62,20,9194,medium,0,0.27715323131655334
95,20,9,3285,medium,1,0.33194256351311435
1,7,74,6435,medium,1,0.013274635957591596
72,69,34,4809,medium,0,0.02506725434956858
74,63,70,9846,medium,0,0.853137715135004
23,25,95,5858,medium,1,0.8180410589850645
76,66,0,8145,medium,1,0.4043899208840558
60,9,41,1908,medium,0,0.1239875871932492
75,9,31,5406,medium,1,0.5385378689028328
7,43,73,8876,medium,0,0.0030687256450688816
35,25,39,1352,medium,0,0.687161672628372
9,34,16,7635,medium,1,0.2469398941487836
1,8,8,8383,medium,1,0.994422544082334
96,69,60,2193,medium,1,0.004162352185262619
98,31,8,7999,medium,1,0.4760291424249047
75,11,29,6974,medium,0,0.6999658542217428
56,77,43,5681,medium,0,0.9846356850772278
8,79,10,2977,medium,0,0.11128700704154781
69,40,69,1504,medium,1,0.41632568851974616
27,78,4,5830,medium,0,0.8863735623650792
60,46,65,5878,medium,1,0.7108796729852783
61,45,63,2142,medium,0,0.5249242742427632
49,68,9,1947,medium,0,0.7668647549282607
88,88,90,9534,medium,0,0.7812358584482574
19,38,71,2701,medium,1,0.08230661467301548
89,26,31,8432,medium,0,0.42056646914140094
56,28,70,9303,medium,1,0.9519589162478389
95,66,20,9771,medium,1,0.5710250314847368
19,32,85,2613,medium,1,0.752126727367689
70,31,88,3428,medium,0,0.4890591300051551
17,10,36,3924,medium,0,0.4052945481323581
65,51,49,5650,medium,0,0.6071196732094334
49,18,74,3397,medium,1,0.07116104000919421
40,62,99,5694,medium,1,0.38310865593875476
52,69,47,8871,medium,0,0.7062191660382071
47,74,72,2919,medium,1,0.2942582728305826
97,86,15,7386,medium,1,0.304714157653016
90,50,99,5952,medium,1,0.7033930577479449
73,19,15,1822,medium,0,0.3187125329835975
37,63,82,6040,medium,1,0.07162082851640161
94,81,49,1071,medium,0,0.7940345148946065
23,35,5,2245,medium,1,0.5640036207306315
72,69,34,4809,medium,0,0.4694702676191389
79,23,67,8614,medium,1,0.6077819862372744
85,8,60,9744,medium,0,0.6684564839566987
30,27,69,6430,medium,1,0.22950286649999396
17,19,7,3036,medium,0,0.925422058490543
70,31,88,3428,medium,0,0.5060408779276098
72,37,50,3654,medium,1,0.3512320678989367
79,35,76,8849,medium,1,0.11993969069254662
60,3,12,8614,medium,0,0.5445628900341046
42,3,29,2949,medium,1,0.654986054852221
21,70,60,7560,medium,1,0.08458963541808406
37,63,82,6040,medium,1,0.5502793680454351
92,21,40,2515,medium,1,0.22546932516611906
18,9,15,4631,medium,1,0.7055733271412781
59,10,92,1740,medium,0,0.6154653570973865
17,10,36,3924,medium,0,0.9099937934907248
51,85,99,2183,medium,0,0.7884902630760837
84,71,28,6633,medium,0,0.9942593888390616
55,10,30,1874,medium,0,0.7977809557131597
53,15,59,3815,medium,0,0.9463765521859723
38,77,81,3696,medium,0,0.5209208097943188
99,32,64,9378,medium,0,0.7464755257106573
67,97,65,9218,medium,0,0.34816012993636924
63,55,58,3368,medium,0,0.47306984684392617
19,15,16,9402,medium,1,0.40459686017299634
26,74,93,1318,medium,1,0.8598107716300091
26,39,3,9281,medium,1,0.8931624543226272
88,2,22,7702,medium,1,0.3945988610272283
30,64,11,5570,medium,1,0.4574543492017159
38,10,21,4819,medium,0,0.7942031299847591
33,96,59,3196,medium,1,0.27542217474586417
9,18,86,9691,medium,0,0.0671288638351929
19,15,16,9402,medium,1,0.49497543446251924
71,53,59,4065,medium,0,0.2672628427804913
75,58,59,3093,medium,1,0.47198632670967966
13,30,51,7744,medium,1,0.26347956775743864
84,80,10,2669,medium,1,0.09181919479598599
83,78,52,2406,medium,1,0.3732221571119412
29,84,34,6062,medium,1,0.7704447930006406
7,43,73,8876,medium,1,0.08540123231013708
37,63,82,6040,medium,1,0.5156041712183178
22,60,97,2934,medium,1,0.829607544559769
73,67,79,3416,medium,1,0.6797410514948298
76,96,4,8982,medium,1,0.052762026179032584
50,13,94,1607,medium,1,0.38206571727338223
97,30,99,7553,medium,1,0.2626109186567761
44,65,77,2480,medium,0,0.7785860255876048
73,67,79,3416,medium,1,0.9027776315195492
88,88,90,9534,medium,1,0.6524084141888644
14,57,71,2478,medium,1,0.030951685730531753
37,28,65,2179,medium,0,0.1834562085685122
38,88,25,9085,medium,0,0.466249279575783
71,26,99,2900,medium,0,0.22193076117227684
20,78,58,2485,medium,0,0.8104664670931844
49,47,76,1906,medium,0,0.06406474511557758
79,35,76,8849,medium,1,0.901340104788565
45,38,32,9910,medium,1,0.8759787550932462
20,32,67,8229,medium,1,0.05731483394870196
9,57,12,8862,medium,1,0.9870148683163323
2,23,18,4435,medium,1,0.9893362584273727
29,84,34,6062,medium,0,0.9734858282357388
29,84,34,6062,medium,1,0.6463974966993704
50,1,30,9839,medium,0,0.20555908752103902
96,31,35,9080,medium,0,0.8050189828765325
84,91,76,6775,medium,1,0.4206566290274266
64,54,32,5558,medium,1,0.4007705818922258
53,81,62,6289,medium,0,0.3109151320048288
94,82,62,2609,medium,0,0.7118463024768951
76,96,4,8982,medium,1,0.22878292113381804
22,60,97,2934,medium,0,0.5712262709442395
30,27,69,6430,medium,0,0.5900815904485589
69,92,41,6660,medium,0,0.5026680503076736
37,28,65,2179,medium,1,0.29570006922361003
60,46,65,5878,medium,0,0.4686206599280722
9,57,12,8862,medium,1,0.06344386123272172
12,70,79,1573,medium,0,0.051312627976025205
17,79,93,1372,medium,1,0.16332738767353772
13,30,51,7744,medium,1,0.8128642696016369
19,9,81,5759,medium,1,0.7838146449954139
16,94,0,7991,medium,0,0.7547955124318166
19,38,71,2701,medium,1,0.7950362630660781
26,17,50,8058,medium,1,0.05956527714887705
80,36,48,8635,medium,0,0.6073428123958605
88,9,38,6691,medium,0,0.6289819916325263
13,48,0,8380,medium,0,0.2833936787315129
14,57,71,2478,medium,0,0.48855644674609755
96,48,53,1095,medium,0,0.6384582875239851
49,68,9,1947,medium,0,0.34079100372732885
84,71,28,6633,medium,0,0.03733225454351863
75,97,18,8623,medium,1,0.17069438254313074
78,63,78,8045,medium,0,0.6671899747155761
16,28,86,3939,medium,1,0.6802564341044622
64,83,26,5747,medium,1,0.2766031229076118
9,18,86,9691,medium,1,0.9713940736719359
25,70,89,6526,medium,1,0.4458245475356606
55,96,24,4239,medium,1,0.059398566822056464
2,64,67,6914,medium,1,0.9095889786656417
43,15,12,4897,medium,0,0.8088275072480395
42,3,29,2949,medium,1,0.30389584244897105
42,3,29,2949,medium,0,0.3141482821949778
1,7,74,6435,medium,1,0.4000559549794851
34,51,36,2973,medium,0,0.4008672188302834
71,64,5,2477,medium,0,0.6863727690309733
84,62,21,3347,medium,1,0.7882895393219697
15,12,58,9774,medium,1,0.7479343037137604
21,57,38,7679,medium,1,0.7205403352686973
51,85,99,2183,medium,0,0.4396719435098386
76,18,32,4464,medium,0,0.7984131484330954
23,51,27,3419,medium,0,0.679128264069153
43,84,86,7852,medium,1,0.7570990019605797
54,55,71,8740,medium,0,0.18887737982284758
92,23,6,3274,medium,1,0.3905506975095817
41,75,79,8035,medium,0,0.5825538742223432
90,73,92,5335,medium,0,0.45569949951967725
19,88,31,7805,medium,1,0.11745672746969305
81,37,86,5276,medium,0,0.39717719884558844
96,69,22,5431,medium,1,0.16864021936157925
34,76,71,3911,medium,0,0.2731829412795722
45,22,4,6837,medium,0,0.7687321199632472
74,71,96,2914,medium,1,0.028674955439141225
53,33,9,3460,medium,0,0.7038295299316091
97,86,15,7386,medium,0,0.8067978050829261
60,3,12,8614,medium,1,0.6861225769978023
76,47,94,1110,medium,1,0.10238326578745405
8,85,34,2786,medium,1,0.6712795201207009
51,61,17,9867,medium,0,0.9926613257118855
60,9,41,1908,medium,1,0.8460862034395783
14,56,61,6347,medium,0,0.5293914168697426
52,32,40,2265,medium,0,0.7622411729868903
12,29,22,5825,medium,0,0.9111743311766044
51,16,61,9676,medium,1,0.15270311055421348
76,96,4,8982,medium,0,0.013128488693769258
25,70,89,6526,medium,1,0.5549086211310595
79,82,17,2161,medium,0,0.6199639827598635
47,18,11,7908,medium,1,0.9953649482663046
32,7,2,2894,medium,1,0.6325049835762133
53,81,62,6289,medium,1,0.9015763702720785
19,95,25,8044,medium,0,0.507365179675141
96,69,60,2193,medium,1,0.007504722696005883
79,54,80,6696,medium,0,0.8046065450957827
32,53,17,5791,medium,1,0.5803559796313933
90,50,99,5952,medium,0,0.6221720472847674
66,75,95,7680,medium,0,0.5826821768900164
53,15,59,3815,medium,1,0.1015214038212171
84,62,21,3347,medium,0,0.4264795836791674
79,54,80,6696,medium,0,0.385216815903928
70,31,53,4869,medium,1,0.6534961413564795
28,53,26,7437,medium,0,0.3563577514079308
1,24,46,6790,medium,0,0.6433328891702818
81,18,88,5727,medium,0,0.7779027296460317
34,88,46,6896,medium,0,0.9457976747585285
9,18,86,9691,medium,1,0.7062654083191306
16,14,79,6828,medium,1,0.8343495575955583
26,17,50,8058,medium,1,0.6224513408209007
45,22,4,6837,medium,0,0.07109970564526968
83,7,60,7170,medium,1,0.8392160112786297
1,7,74,6435,medium,1,0.841401322254778
48,58,94,8644,medium,0,0.3395858062303363
96,60,50,1258,medium,1,0.216024936255385
99,32,64,9378,medium,1,0.28587194388254134
78,83,9,3956,medium,0,0.8403663404739207
30,64,11,5570,medium,1,0.08391389349853617
1,7,74,6435,medium,0,0.43433242917227666
43,15,12,4897,medium,0,0.5003558196584669
