day_of_week,hour,weather,event,travel_time,road_condition,accidents
Saturday,23,Snowy,Sports,33,Moderate,4
Saturday,18,Rainy,Sports,49,Bad,1
Saturday,6,Snowy,Concert,53,Bad,4
Tuesday,2,Sunny,Festival,39,Moderate,0
Thursday,14,Rainy,Sports,44,Moderate,3
Saturday,22,Sunny,Concert,18,Moderate,1
Friday,13,Sunny,Festival,39,Good,3
Sunday,10,Sunny,,52,Good,0
Tuesday,14,Sunny,Sports,49,Good,3
Tuesday,12,Rainy,,24,Good,4
Thursday,17,Sunny,Festival,53,Moderate,0
Tuesday,5,Sunny,Sports,17,Good,0
Tuesday,2,Snowy,Festival,42,Good,0
Saturday,18,Rainy,,53,Good,1
Thursday,14,Rainy,Sports,50,Moderate,1
Saturday,22,Cloudy,,53,Good,0
Sunday,4,Rainy,Festival,12,Moderate,4
Sunday,9,Rainy,Festival,47,Bad,1
Saturday,6,Cloudy,,24,Bad,3
Sunday,16,Rainy,Sports,37,Bad,1
Thursday,6,Rainy,,30,Good,3
Monday,21,Rainy,Festival,43,Good,0
Saturday,11,Rainy,,25,Bad,2
Friday,16,Cloudy,Festival,57,Bad,4
Friday,12,Rainy,,53,Bad,0
Tuesday,19,Rainy,Sports,46,Bad,2
Sunday,3,Cloudy,Sports,47,Bad,2
Friday,9,Snowy,,58,Moderate,0
Tuesday,2,Sunny,,45,Good,2
Monday,8,Snowy,Sports,13,Bad,4
Thursday,12,Cloudy,Festival,28,Good,0
Thursday,17,Sunny,Sports,41,Good,0
Thursday,14,Cloudy,Festival,53,Good,3
Friday,3,Cloudy,,45,Moderate,2
Monday,14,Rainy,,21,Good,1
Friday,21,Sunny,Festival,28,Bad,1
Sunday,1,Rainy,,25,Good,1
Friday,14,Sunny,Festival,55,Moderate,2
Monday,7,Cloudy,Concert,43,Good,0
Monday,7,Cloudy,Sports,59,Bad,0
Sunday,16,Snowy,Concert,45,Moderate,4
Monday,11,Sunny,Festival,43,Good,1
Monday,18,Rainy,Sports,17,Good,4
Thursday,9,Snowy,Festival,15,Moderate,4
Sunday,8,Snowy,Sports,50,Good,2
Wednesday,4,Snowy,Sports,23,Moderate,0
Wednesday,5,Rainy,Sports,15,Moderate,4
Monday,19,Snowy,Sports,17,Moderate,4
Wednesday,1,Rainy,Festival,50,Bad,3
Wednesday,23,Snowy,Sports,49,Moderate,3
Monday,12,Rainy,Sports,5,Good,1
Wednesday,5,Cloudy,Concert,44,Moderate,0
Friday,4,Cloudy,,48,Good,2
Tuesday,0,Cloudy,,23,Good,3
Sunday,20,Cloudy,Concert,16,Good,4
Tuesday,21,Cloudy,Concert,12,Good,3
Monday,20,Snowy,Festival,12,Good,1
Thursday,5,Snowy,Festival,57,Moderate,4
Sunday,5,Snowy,Festival,49,Bad,3
Monday,22,Rainy,Concert,16,Good,1
Thursday,15,Rainy,Concert,52,Bad,3
Tuesday,3,Rainy,Sports,37,Bad,1
Monday,10,Rainy,Festival,49,Moderate,1
Sunday,23,Cloudy,Festival,30,Bad,4
Sunday,22,Cloudy,Festival,43,Good,0
Saturday,8,Cloudy,,32,Good,3
Friday,22,Sunny,Sports,9,Good,3
Wednesday,2,Snowy,Festival,12,Moderate,4
Thursday,18,Rainy,Festival,29,Bad,0
Saturday,7,Rainy,Festival,31,Bad,3
Wednesday,4,Cloudy,,50,Bad,3
Wednesday,3,Rainy,,27,Bad,1
Monday,23,Rainy,Concert,34,Good,4
Wednesday,5,Snowy,Sports,49,Bad,1
Friday,1,Cloudy,Concert,51,Good,0
Sunday,19,Snowy,Sports,27,Bad,2
Saturday,10,Sunny,,53,Bad,3
Wednesday,3,Sunny,Festival,51,Good,4
Monday,14,Sunny,Concert,24,Bad,0
Friday,5,Cloudy,Festival,22,Bad,2
Tuesday,21,Rainy,Concert,22,Moderate,1
Sunday,16,Cloudy,,6,Bad,1
Sunday,23,Cloudy,,8,Bad,0
Saturday,5,Rainy,,34,Moderate,3
Sunday,18,Snowy,Concert,37,Bad,1
Wednesday,1,Sunny,Sports,40,Bad,4
Monday,14,Snowy,Concert,22,Good,0
Sunday,10,Sunny,Sports,41,Moderate,0
Sunday,7,Cloudy,Concert,23,Good,0
Tuesday,18,Sunny,Concert,51,Moderate,2
Tuesday,12,Cloudy,,32,Moderate,3
Thursday,11,Snowy,Festival,44,Good,1
Friday,4,Cloudy,Festival,24,Moderate,4
Wednesday,5,Snowy,Sports,53,Moderate,4
Sunday,21,Rainy,Festival,37,Bad,4
Sunday,3,Rainy,Concert,16,Good,3
Monday,18,Rainy,Concert,55,Bad,0
Thursday,19,Cloudy,,19,Bad,3
Friday,0,Rainy,,45,Bad,2
Thursday,19,Sunny,Festival,43,Moderate,2
Saturday,16,Snowy,Sports,6,Moderate,0
Friday,11,Snowy,Festival,33,Bad,4
Sunday,14,Sunny,Festival,45,Good,2
Sunday,0,Cloudy,Festival,14,Good,4
Friday,13,Cloudy,Festival,6,Good,2
Sunday,5,Snowy,Concert,55,Good,1
Wednesday,4,Rainy,Sports,15,Bad,2
Friday,10,Cloudy,Concert,17,Moderate,4
Thursday,3,Cloudy,Sports,14,Good,2
Friday,12,Sunny,,18,Moderate,3
Sunday,10,Sunny,Festival,22,Moderate,4
Wednesday,2,Rainy,Concert,55,Moderate,2
Wednesday,0,Cloudy,Sports,58,Moderate,0
Saturday,5,Cloudy,,13,Good,3
Thursday,17,Sunny,,43,Bad,2
Tuesday,23,Cloudy,Festival,32,Bad,3
Tuesday,9,Snowy,Sports,7,Bad,2
Friday,4,Sunny,Concert,24,Moderate,3
Saturday,22,Rainy,Festival,10,Good,1
Monday,9,Sunny,Concert,31,Bad,2
Friday,11,Cloudy,,57,Moderate,0
Saturday,1,Rainy,Concert,6,Good,3
Thursday,12,Sunny,Concert,33,Moderate,1
Thursday,7,Snowy,Festival,42,Bad,4
Thursday,1,Snowy,Concert,7,Moderate,1
Thursday,19,Sunny,Festival,20,Good,0
Thursday,0,Snowy,,34,Bad,4
Saturday,4,Snowy,Festival,44,Bad,3
Saturday,8,Snowy,Festival,6,Good,2
Wednesday,16,Rainy,Sports,21,Moderate,2
Tuesday,8,Snowy,Concert,45,Moderate,2
Sunday,10,Snowy,,16,Good,3
Thursday,14,Snowy,Festival,39,Moderate,3
Monday,23,Rainy,,47,Bad,1
Sunday,5,Sunny,Sports,5,Good,0
Saturday,22,Cloudy,Concert,59,Bad,2
Monday,2,Snowy,Festival,49,Bad,0
Monday,16,Sunny,Concert,19,Good,2
Monday,4,Snowy,Sports,30,Bad,2
Wednesday,11,Rainy,Sports,41,Bad,1
Saturday,17,Sunny,,25,Moderate,0
Monday,13,Rainy,Festival,53,Bad,3
Thursday,20,Snowy,,35,Bad,4
Friday,23,Snowy,Sports,29,Moderate,1
Monday,10,Rainy,Concert,27,Moderate,0
Wednesday,8,Cloudy,,28,Moderate,1
Sunday,1,Rainy,,42,Moderate,2
Saturday,11,Snowy,Concert,32,Moderate,4
Wednesday,2,Rainy,,25,Bad,0
Monday,2,Cloudy,Concert,58,Moderate,3
Saturday,0,Rainy,Festival,47,Bad,1
Friday,7,Cloudy,Concert,22,Good,0
Monday,21,Cloudy,Festival,40,Moderate,2
Wednesday,7,Rainy,Concert,39,Good,0
Tuesday,10,Rainy,Sports,49,Good,1
Thursday,8,Sunny,Sports,59,Good,1
Sunday,4,Snowy,Festival,13,Bad,0
Wednesday,13,Cloudy,Festival,57,Moderate,2
Saturday,2,Sunny,Sports,42,Good,0
Monday,20,Rainy,Festival,34,Bad,3
Thursday,4,Snowy,Concert,48,Moderate,0
Monday,4,Sunny,Concert,38,Moderate,1
Saturday,18,Cloudy,Sports,36,Bad,0
Monday,13,Sunny,,7,Bad,2
Tuesday,3,Cloudy,Concert,7,Good,1
Thursday,12,Rainy,Festival,32,Bad,0
Thursday,9,Snowy,,48,Moderate,2
Saturday,17,Snowy,,19,Good,0
Sunday,7,Snowy,Concert,45,Bad,2
Tuesday,7,Rainy,Concert,27,Good,1
Wednesday,6,Cloudy,,44,Moderate,4
Monday,7,Rainy,,15,Moderate,3
Friday,13,Snowy,Sports,52,Moderate,3
Monday,18,Rainy,Festival,36,Bad,0
Monday,5,Rainy,Sports,58,Good,4
Wednesday,0,Rainy,Concert,40,Good,4
Monday,22,Cloudy,Sports,37,Moderate,1
Tuesday,14,Sunny,Sports,28,Moderate,4
Tuesday,0,Sunny,Sports,43,Good,3
Thursday,16,Rainy,Sports,38,Good,0
Saturday,0,Sunny,Festival,32,Moderate,0
Sunday,14,Sunny,Festival,41,Moderate,3
Friday,22,Rainy,,11,Bad,4
Monday,1,Rainy,Concert,8,Bad,4
Monday,13,Snowy,Sports,41,Moderate,2
Wednesday,20,Sunny,,5,Good,4
Saturday,7,Cloudy,,5,Moderate,1
Tuesday,7,Rainy,,51,Bad,0
Friday,18,Snowy,Festival,24,Moderate,4
Thursday,6,Cloudy,Sports,23,Moderate,3
Tuesday,18,Sunny,Sports,33,Good,3
Saturday,5,Snowy,Concert,14,Moderate,1
Sunday,5,Rainy,Sports,22,Moderate,4
Thursday,2,Cloudy,Sports,32,Bad,2
Sunday,6,Rainy,,39,Moderate,3
Wednesday,18,Sunny,Concert,47,Moderate,4
Wednesday,7,Cloudy,Sports,51,Moderate,3
Monday,9,Sunny,Festival,35,Bad,4
Sunday,19,Sunny,Sports,31,Moderate,1
Saturday,14,Snowy,,15,Moderate,3
Friday,14,Rainy,Festival,53,Bad,4
Thursday,0,Cloudy,,53,Moderate,2
Tuesday,19,Sunny,Sports,42,Good,3
Saturday,6,Sunny,Festival,9,Moderate,1
Saturday,3,Cloudy,Concert,12,Bad,0
Wednesday,5,Sunny,Concert,38,Bad,2
Sunday,0,Snowy,Festival,52,Good,2
Monday,4,Snowy,Festival,56,Bad,0
Monday,22,Snowy,,16,Good,2
Thursday,0,Snowy,Festival,42,Moderate,4
Wednesday,3,Sunny,,5,Moderate,2
Saturday,21,Cloudy,Sports,35,Bad,1
Friday,1,Cloudy,,8,Moderate,2
Wednesday,9,Cloudy,Festival,53,Good,0
Thursday,4,Cloudy,Festival,49,Good,1
Thursday,9,Rainy,Sports,54,Moderate,0
Wednesday,0,Cloudy,Festival,9,Good,2
Thursday,21,Rainy,Festival,34,Moderate,4
Wednesday,5,Rainy,Concert,28,Good,0
Tuesday,12,Snowy,Concert,7,Moderate,4
Wednesday,14,Rainy,Sports,15,Good,1
Sunday,3,Sunny,,49,Bad,1
Wednesday,12,Rainy,Concert,8,Bad,0
Thursday,23,Snowy,,30,Bad,3
Sunday,19,Rainy,Festival,31,Moderate,4
Thursday,23,Sunny,Concert,50,Moderate,4
Monday,14,Sunny,Sports,58,Bad,4
Monday,7,Sunny,Sports,47,Moderate,3
Sunday,4,Snowy,Sports,31,Moderate,0
Tuesday,14,Snowy,Concert,46,Good,4
Monday,3,Cloudy,,55,Moderate,4
Wednesday,11,Snowy,Festival,54,Good,0
Thursday,12,Sunny,,10,Good,0
Monday,1,Sunny,,19,Moderate,2
Monday,18,Snowy,Festival,57,Good,0
Tuesday,18,Rainy,Festival,34,Moderate,3
Sunday,3,Snowy,Concert,46,Moderate,3
Sunday,3,Snowy,Concert,41,Moderate,4
Saturday,10,Sunny,Concert,41,Bad,4
Tuesday,4,Cloudy,Concert,46,Moderate,0
Wednesday,19,Sunny,Concert,41,Moderate,3
Sunday,10,Cloudy,Festival,39,Bad,2
Thursday,9,Sunny,,27,Good,2
Tuesday,7,Snowy,Concert,10,Good,4
Monday,5,Sunny,Concert,8,Good,4
Thursday,5,Sunny,,22,Bad,1
Thursday,7,Sunny,Concert,13,Moderate,0
Monday,22,Snowy,,53,Moderate,4
Tuesday,14,Snowy,,33,Good,4
Monday,13,Snowy,Festival,17,Bad,2
Saturday,10,Snowy,Sports,51,Moderate,4
Thursday,11,Cloudy,Festival,56,Good,1
Friday,12,Cloudy,Sports,21,Bad,2
Friday,7,Rainy,Sports,49,Moderate,2
Wednesday,17,Snowy,Sports,36,Moderate,1
Sunday,0,Cloudy,Concert,52,Bad,0
Monday,14,Sunny,Festival,26,Good,0
Monday,7,Snowy,Sports,8,Moderate,4
Wednesday,10,Rainy,,9,Good,1
Wednesday,11,Rainy,Concert,41,Good,4
Wednesday,11,Rainy,Festival,45,Bad,4
Thursday,3,Sunny,Sports,53,Good,4
Saturday,15,Cloudy,,17,Good,2
Monday,3,Sunny,Festival,38,Moderate,4
Thursday,4,Snowy,Festival,49,Good,1
Wednesday,23,Rainy,Concert,26,Bad,2
Monday,4,Sunny,Festival,57,Moderate,2
Thursday,7,Sunny,Concert,27,Good,0
Saturday,9,Cloudy,Sports,55,Good,0
Thursday,16,Cloudy,Concert,7,Moderate,3
Saturday,8,Rainy,,46,Moderate,0
Wednesday,21,Sunny,Concert,38,Moderate,1
Saturday,18,Sunny,,36,Bad,1
Monday,13,Cloudy,Concert,49,Good,2
Wednesday,7,Sunny,Festival,55,Bad,4
Monday,8,Sunny,Sports,53,Bad,4
Friday,21,Sunny,,25,Bad,0
Tuesday,10,Cloudy,Concert,50,Bad,3
Saturday,22,Rainy,Concert,48,Bad,2
Tuesday,0,Snowy,Concert,25,Good,3
Tuesday,13,Rainy,Festival,48,Good,3
Saturday,4,Snowy,Festival,15,Good,0
Wednesday,20,Sunny,,43,Moderate,2
Friday,13,Rainy,,8,Bad,1
Monday,3,Snowy,Festival,55,Moderate,0
Thursday,21,Cloudy,,5,Good,4
Monday,22,Cloudy,Sports,32,Bad,3
Thursday,0,Rainy,Sports,28,Moderate,0
Monday,21,Rainy,Festival,39,Moderate,1
Saturday,22,Sunny,,17,Bad,2
Friday,18,Rainy,Concert,51,Good,3
Thursday,7,Sunny,Sports,38,Moderate,4
Sunday,14,Sunny,Festival,15,Good,1
Wednesday,20,Cloudy,,40,Moderate,1
Monday,14,Cloudy,Festival,55,Bad,0
Monday,8,Snowy,Concert,21,Good,4
Thursday,20,Cloudy,Sports,39,Bad,1
Wednesday,8,Cloudy,Festival,22,Good,2
Wednesday,9,Rainy,Festival,44,Moderate,3
Saturday,19,Cloudy,Festival,26,Moderate,3
Sunday,20,Snowy,Concert,28,Moderate,2
Saturday,8,Rainy,Festival,23,Bad,0
Saturday,2,Snowy,Concert,41,Moderate,0
Saturday,19,Cloudy,Concert,43,Good,3
Saturday,10,Snowy,Concert,25,Moderate,1
Saturday,5,Rainy,Sports,12,Good,1
Friday,1,Sunny,Sports,32,Good,0
Wednesday,6,Snowy,Festival,9,Bad,0
Saturday,17,Snowy,Festival,21,Moderate,1
Wednesday,1,Rainy,Sports,41,Bad,4
Wednesday,16,Rainy,,40,Moderate,4
Tuesday,10,Snowy,Sports,58,Good,3
Friday,11,Cloudy,Concert,23,Good,4
Saturday,18,Snowy,Sports,31,Moderate,2
Monday,21,Rainy,Concert,57,Good,1
Thursday,23,Sunny,Festival,38,Bad,2
Sunday,6,Sunny,,15,Moderate,4
Monday,19,Cloudy,Festival,58,Bad,1
Friday,5,Snowy,Concert,49,Bad,3
Thursday,20,Sunny,Concert,51,Good,0
Friday,23,Snowy,Concert,16,Bad,1
Wednesday,0,Rainy,,58,Good,2
Thursday,16,Sunny,Sports,25,Bad,2
Wednesday,10,Cloudy,Festival,58,Moderate,3
Monday,21,Rainy,Festival,15,Moderate,0
Monday,17,Cloudy,Sports,43,Moderate,2
Thursday,20,Rainy,Festival,32,Good,0
Thursday,16,Sunny,,9,Bad,2
Saturday,6,Cloudy,Festival,21,Good,0
Friday,16,Cloudy,Concert,24,Good,4
Saturday,19,Rainy,Sports,45,Bad,2
Friday,8,Cloudy,,50,Moderate,3
Saturday,16,Rainy,Sports,16,Bad,0
Wednesday,19,Rainy,,10,Moderate,1
Thursday,21,Rainy,Concert,21,Good,0
Monday,21,Rainy,Sports,55,Good,2
Friday,7,Sunny,Festival,23,Bad,3
Friday,16,Rainy,,30,Bad,0
Monday,6,Snowy,Sports,52,Good,2
Saturday,0,Cloudy,Festival,48,Good,2
Friday,12,Snowy,Sports,48,Good,3
Sunday,22,Sunny,Sports,56,Good,4
Wednesday,18,Snowy,Sports,36,Bad,2
Thursday,23,Cloudy,,10,Good,2
Monday,18,Snowy,Festival,59,Moderate,4
Thursday,16,Sunny,Concert,40,Good,4
Sunday,12,Rainy,,42,Moderate,0
Friday,15,Snowy,,15,Bad,0
Friday,7,Sunny,,37,Bad,0
Sunday,18,Sunny,Concert,28,Moderate,4
Monday,17,Cloudy,Festival,27,Bad,3
Wednesday,0,Cloudy,Festival,19,Moderate,2
Tuesday,13,Snowy,Festival,31,Bad,1
Monday,18,Rainy,Sports,15,Good,2
Tuesday,14,Sunny,Sports,55,Moderate,1
Sunday,17,Snowy,Sports,54,Moderate,0
Saturday,1,Sunny,Concert,21,Good,4
Tuesday,21,Sunny,Sports,55,Bad,2
Wednesday,16,Rainy,Concert,57,Good,4
Saturday,17,Rainy,Festival,18,Bad,1
Tuesday,5,Snowy,Sports,31,Moderate,4
Sunday,18,Rainy,Sports,22,Bad,3
Saturday,3,Rainy,,32,Bad,1
Sunday,0,Snowy,Concert,55,Bad,1
Tuesday,7,Rainy,Festival,51,Good,3
Sunday,22,Cloudy,,51,Bad,4
Wednesday,6,Sunny,,8,Moderate,3
Tuesday,2,Sunny,Festival,11,Moderate,4
Tuesday,9,Sunny,,49,Moderate,0
Tuesday,9,Sunny,Concert,39,Moderate,4
Monday,18,Snowy,Concert,52,Moderate,3
Monday,13,Sunny,Sports,13,Bad,1
Monday,1,Sunny,,12,Moderate,3
Wednesday,0,Sunny,Sports,56,Moderate,0
Saturday,22,Sunny,,49,Moderate,3
Sunday,22,Cloudy,Concert,21,Bad,4
Friday,17,Sunny,Concert,21,Bad,1
Tuesday,6,Cloudy,Concert,53,Moderate,3
Sunday,7,Snowy,,37,Moderate,0
Tuesday,0,Rainy,Concert,36,Good,0
Wednesday,22,Sunny,,12,Bad,3
Tuesday,2,Rainy,Sports,23,Good,4
Monday,23,Rainy,,42,Good,0
Friday,22,Snowy,Sports,7,Moderate,2
Thursday,7,Rainy,,9,Good,4
Tuesday,21,Cloudy,Sports,17,Bad,0
Sunday,14,Rainy,Concert,51,Good,1
Monday,4,Rainy,Sports,50,Moderate,3
Thursday,2,Rainy,Concert,35,Good,2
Friday,18,Sunny,Concert,59,Moderate,0
Thursday,0,Sunny,Sports,20,Good,4
Monday,14,Cloudy,,54,Good,2
Saturday,7,Cloudy,,36,Bad,4
Saturday,1,Sunny,Festival,26,Bad,3
Thursday,2,Cloudy,,33,Bad,2
Wednesday,23,Sunny,Festival,26,Moderate,4
Sunday,13,Snowy,,47,Moderate,4
Sunday,23,Rainy,,7,Bad,3
Thursday,13,Rainy,Concert,58,Moderate,3
Tuesday,10,Cloudy,Festival,14,Moderate,1
Tuesday,15,Sunny,,46,Bad,4
Sunday,3,Sunny,Festival,25,Moderate,4
Sunday,19,Cloudy,Concert,20,Good,2
Saturday,4,Sunny,Concert,16,Moderate,3
Wednesday,21,Snowy,Festival,6,Moderate,1
Monday,20,Rainy,Concert,45,Moderate,1
Tuesday,13,Cloudy,Sports,28,Moderate,0
Sunday,22,Cloudy,Sports,39,Good,4
Saturday,15,Sunny,Concert,34,Good,1
Friday,17,Cloudy,Sports,34,Good,0
Saturday,6,Snowy,,51,Moderate,0
Tuesday,9,Sunny,Festival,39,Moderate,3
Tuesday,6,Sunny,,23,Bad,2
Saturday,0,Sunny,Festival,54,Bad,0
Monday,22,Sunny,Concert,12,Good,3
Thursday,20,Snowy,,30,Moderate,1
Tuesday,18,Sunny,Concert,53,Bad,4
Saturday,15,Cloudy,Concert,44,Bad,4
Sunday,18,Snowy,Festival,11,Moderate,1
Saturday,3,Rainy,Festival,34,Bad,4
Wednesday,17,Rainy,Festival,11,Good,0
Thursday,1,Cloudy,,7,Moderate,4
Friday,0,Cloudy,Sports,5,Moderate,1
Monday,14,Snowy,Festival,40,Bad,4
Friday,4,Rainy,Festival,29,Moderate,3
Thursday,19,Rainy,,41,Bad,3
Thursday,10,Rainy,Festival,5,Good,3
Thursday,9,Rainy,,19,Bad,3
Friday,1,Rainy,Concert,41,Moderate,4
Sunday,2,Sunny,Festival,17,Bad,3
Thursday,22,Cloudy,Festival,44,Moderate,2
Saturday,22,Sunny,Concert,12,Good,2
Friday,11,Rainy,Concert,9,Good,3
Thursday,19,Snowy,Concert,13,Bad,4
Saturday,4,Snowy,Festival,5,Good,2
Sunday,4,Rainy,Sports,40,Bad,0
Wednesday,5,Rainy,Sports,39,Moderate,4
Sunday,8,Snowy,Sports,6,Good,0
Thursday,1,Sunny,Festival,44,Bad,1
Friday,20,Sunny,Concert,27,Bad,0
Tuesday,11,Rainy,Festival,13,Good,3
Thursday,2,Sunny,Concert,38,Moderate,3
Tuesday,19,Snowy,Festival,50,Bad,4
Saturday,21,Sunny,Festival,18,Good,0
Wednesday,11,Rainy,Concert,8,Good,1
Monday,23,Snowy,Sports,34,Moderate,0
Sunday,16,Sunny,Concert,35,Moderate,3
Wednesday,9,Cloudy,,42,Bad,1
Thursday,23,Snowy,,15,Good,4
Tuesday,13,Snowy,Concert,39,Good,0
Sunday,22,Cloudy,Festival,12,Bad,1
Tuesday,16,Cloudy,,7,Bad,3
Friday,17,Snowy,,18,Moderate,0
Tuesday,18,Cloudy,Festival,17,Good,4
Friday,16,Rainy,Festival,49,Moderate,2
Saturday,13,Rainy,Sports,36,Moderate,4
Sunday,8,Rainy,Festival,38,Bad,2
Sunday,7,Snowy,Concert,49,Bad,0
Monday,1,Cloudy,Concert,23,Good,2
Thursday,12,Cloudy,Sports,42,Bad,2
Friday,6,Sunny,,20,Good,1
Monday,8,Sunny,,6,Good,1
Tuesday,21,Cloudy,Festival,44,Moderate,1
Tuesday,21,Cloudy,Concert,21,Moderate,3
Monday,10,Cloudy,,59,Moderate,4
Sunday,13,Snowy,Sports,38,Moderate,1
Tuesday,3,Cloudy,Sports,46,Good,1
Saturday,12,Sunny,Concert,20,Bad,4
Saturday,1,Snowy,Sports,42,Good,1
Monday,22,Cloudy,Sports,6,Moderate,1
Friday,4,Sunny,Concert,6,Bad,3
Friday,10,Snowy,Festival,30,Bad,4
Monday,5,Cloudy,Festival,17,Moderate,1
Friday,17,Cloudy,Sports,51,Moderate,0
Sunday,20,Cloudy,Festival,35,Moderate,4
Sunday,9,Snowy,Festival,38,Moderate,2
Friday,3,Sunny,Sports,43,Good,1
Saturday,8,Sunny,Festival,7,Good,2
Friday,5,Rainy,Sports,12,Good,2
Sunday,1,Cloudy,,27,Moderate,0
Wednesday,16,Rainy,Concert,18,Moderate,1
Thursday,4,Rainy,Concert,59,Bad,0
Tuesday,5,Sunny,Festival,31,Bad,1
Wednesday,11,Snowy,Festival,58,Good,3
Friday,22,Snowy,Festival,33,Good,0
Saturday,20,Sunny,Concert,43,Good,4
Monday,9,Snowy,,57,Moderate,0
Friday,21,Rainy,,43,Moderate,4
Saturday,20,Cloudy,Concert,5,Moderate,3
Thursday,5,Sunny,,21,Moderate,3
Friday,7,Cloudy,Concert,45,Moderate,1
Sunday,1,Snowy,,34,Moderate,1
Monday,11,Cloudy,Sports,57,Bad,2
Saturday,12,Snowy,Sports,17,Bad,3
Saturday,20,Snowy,Concert,25,Good,3
Saturday,6,Rainy,,23,Bad,3
Thursday,9,Snowy,Festival,57,Bad,2
Friday,12,Rainy,,23,Bad,1
Thursday,16,Rainy,Sports,29,Good,3
Tuesday,20,Rainy,Sports,26,Moderate,1
Tuesday,13,Sunny,,35,Bad,0
Friday,1,Sunny,,21,Moderate,1
Sunday,21,Snowy,Festival,59,Moderate,4
Thursday,10,Rainy,Festival,27,Bad,1
Monday,0,Sunny,,36,Good,1
Saturday,18,Rainy,,14,Good,1
Saturday,20,Cloudy,,14,Bad,2
Friday,3,Cloudy,,40,Moderate,2
Sunday,18,Cloudy,Concert,12,Bad,0
Tuesday,20,Snowy,,58,Good,3
Tuesday,10,Rainy,Festival,56,Good,4
